 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"150550 Paragominas";28;6;7;23;14;22;21;23;18;10;172
"150553 Parauapebas";50;10;19;41;32;30;23;37;27;18;287
"150555 Pau D'Arco";-;1;-;2;2;-;-;1;1;1;8
"150560 Peixe-Boi";-;-;1;1;-;-;2;2;3;3;12
"150563 Piçarra";1;2;-;2;2;1;-;1;1;2;12
"150565 Placas";1;-;-;-;1;1;4;1;6;-;14
"150570 Ponta de Pedras";2;1;1;-;1;5;5;6;14;18;53
"150580 Portel";13;6;6;2;5;3;8;5;7;13;68
"150590 Porto de Moz";17;4;-;3;1;1;2;6;2;12;48
"150600 Prainha";6;1;3;-;1;1;2;4;3;3;24
"150610 Primavera";1;-;-;-;1;1;4;3;7;18;35
"150611 Quatipuru";1;-;-;-;1;1;3;11;5;6;28
"150613 Redenção";46;10;6;16;17;17;20;25;21;10;188
"150616 Rio Maria";4;1;3;7;7;3;6;10;6;6;53
"150618 Rondon do Pará";36;7;6;21;14;15;18;18;16;23;174
"150619 Rurópolis";7;1;-;3;3;4;6;11;10;13;58
"150620 Salinópolis";3;1;-;3;4;5;12;15;21;29;93
"150630 Salvaterra";2;-;-;2;2;-;4;2;8;5;25
"150635 Santa Bárbara do Pará";1;1;-;2;-;3;1;4;5;8;25
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;1;1;2
"150650 Santa Izabel do Pará";17;5;3;13;7;11;16;12;33;31;148
"150655 Santa Luzia do Pará";1;-;1;2;1;2;1;2;9;6;25
"150658 Santa Maria das Barreiras";-;-;-;2;1;3;4;2;3;3;18
"150660 Santa Maria do Pará";2;1;1;5;2;6;4;8;21;11;61
"150670 Santana do Araguaia";4;1;3;8;9;8;5;8;6;2;54
"150680 Santarém";118;27;23;60;61;78;90;130;195;191;973
"150690 Santarém Novo";-;-;-;-;-;-;-;-;-;2;2
"150700 Santo Antônio do Tauá";4;1;1;-;1;3;5;3;9;10;37
"150710 São Caetano de Odivelas";-;-;-;2;2;1;4;13;5;11;38
"150715 São Domingos do Araguaia";4;-;2;3;4;6;5;7;10;8;49
"150720 São Domingos do Capim";3;-;1;3;2;3;4;5;8;9;38
"150730 São Félix do Xingu";11;4;7;13;20;17;14;13;15;2;116
"150740 São Francisco do Pará";1;-;-;1;1;1;2;2;4;5;17
"150745 São Geraldo do Araguaia";6;-;1;7;5;4;2;5;8;1;39
"150746 São João da Ponta";-;-;-;-;1;-;-;-;1;3;5
"150747 São João de Pirabas";2;-;-;-;1;2;5;2;5;9;26
"150750 São João do Araguaia";3;-;-;-;1;1;1;1;1;2;10
"150760 São Miguel do Guamá";20;8;3;4;8;12;7;13;10;12;97
"150770 São Sebastião da Boa Vista";2;-;-;-;-;1;1;1;2;8;15
"150775 Sapucaia";4;-;-;1;1;3;1;1;3;1;15
"150780 Senador José Porfírio";3;2;-;2;2;1;-;1;2;5;18
"150790 Soure";19;3;3;2;6;10;11;14;31;24;123
"150795 Tailândia";35;5;5;51;27;25;20;17;13;13;211
"150796 Terra Alta";-;-;-;-;-;1;1;-;-;1;3
"150797 Terra Santa";2;1;1;1;-;1;2;6;14;8;36
"150800 Tomé-Açu";10;4;8;16;9;4;13;10;5;3;82
"150803 Tracuateua";4;-;1;-;-;4;6;4;5;7;31
"150805 Trairão";3;-;-;-;5;1;4;6;3;-;22
"150808 Tucumã";10;1;1;16;13;7;5;7;11;5;76
"150810 Tucuruí";110;25;22;45;35;47;43;61;57;23;468
"150812 Ulianópolis";15;3;1;7;5;7;3;5;3;-;49
"150815 Uruará";16;4;5;8;9;5;9;15;14;8;93
"150820 Vigia";3;1;1;5;3;10;14;27;18;38;120
"150830 Viseu";7;-;1;1;4;-;6;4;4;7;34
"150835 Vitória do Xingu";1;-;-;1;2;1;1;3;2;4;15
"150840 Xinguara";6;2;5;6;10;10;12;7;18;7;83
"150000 Município ignorado - PA";-;-;-;-;-;1;-;-;-;-;1
"160010 Amapá";1;-;-;2;1;-;-;-;4;2;10
"160020 Calçoene";1;-;-;3;-;1;1;2;2;2;12
"160021 Cutias";-;-;-;-;-;1;-;1;2;-;4
"160023 Ferreira Gomes";1;-;-;1;-;-;-;-;2;-;4
"160025 Itaubal";1;-;-;-;-;-;-;-;-;2;3
"160027 Laranjal do Jari";12;6;4;9;7;5;9;6;16;12;86
"160030 Macapá";278;47;75;162;127;125;138;165;189;225;1531
"160040 Mazagão";-;1;2;2;1;1;1;-;6;4;18
"160050 Oiapoque";3;1;1;3;2;4;2;-;2;1;19
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;1;-;-;1;2
"160053 Porto Grande";2;1;2;2;-;1;3;-;1;1;13
"160055 Pracuúba";-;-;1;-;-;-;-;-;-;-;1
"160060 Santana";38;3;12;22;7;9;16;15;20;40;182
"160005 Serra do Navio";-;1;1;-;-;2;1;-;1;-;6
"160070 Tartarugalzinho";1;-;1;3;1;-;1;1;-;-;8
"160080 Vitória do Jari";3;-;-;2;-;-;1;1;-;2;9
"170025 Abreulândia";-;-;-;-;-;-;1;1;-;1;3
"170030 Aguiarnópolis";-;-;-;1;-;1;1;-;-;1;4
"170035 Aliança do Tocantins";1;-;1;1;-;-;1;1;-;1;6
"170040 Almas";2;-;-;2;1;-;1;5;3;5;19
"170070 Alvorada";1;-;-;1;1;1;2;5;7;10;28
"170100 Ananás";-;-;1;2;2;2;4;5;5;7;28
"170105 Angico";-;-;1;-;-;-;1;1;-;2;5
"170110 Aparecida do Rio Negro";-;-;-;-;-;1;-;-;2;-;3
